Question,A,B,C,D
"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",Lưu trữ dữ liệu trên máy chủ,Kết nối Internet và quản lý thiết bị từ xa,Cung cấp dịch vụ phân tích dữ liệu lớn,Thay thế hoàn toàn điện toán đám mây
"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",Bluetooth Low Energy,RFID và nhận dạng khuôn mặt/vân tay,Zigbee,Blockchain
Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,"Bộ cảm biến hiển thị dữ liệu, bộ truyền động thu thập dữ liệu","Bộ cảm biến lưu trữ dữ liệu, bộ truyền động hiển thị dữ liệu","Bộ cảm biến thu thập dữ liệu, bộ truyền động thực hiện lệnh từ máy chủ hoặc thiết bị điều khiển","Bộ cảm biến điều khiển thiết bị, bộ truyền động lưu trữ dữ liệu"
Nội dung chính của bài báo nghiên cứu về IoT trong xây dựng nhà thông minh là gì?,Giới thiệu các ứng dụng cụ thể của điện toán đám mây,Phân tích lợi ích và chi phí triển khai hệ thống cảm biến,Phân loại và đánh giá nghiên cứu IoT ứng dụng nhà thông minh trong 10 năm qua,Trình bày chi tiết về công nghệ vi mạch trong IoT
"Trong nghiên cứu, 229 bài báo được chia thành 4 lớp. Trung bình mỗi lớp có bao nhiêu bài?",45-50,55-60,70-80,90-100
Học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?,OWASP Top 10,IEEE 802.11,ISO/IEC 27001,NIST Cybersecurity Framework
"Trong học phần Cơ sở dữ liệu nâng cao, loại CSDL nào sau đây không được đề cập?",CSDL NoSQL,CSDL hướng đối tượng,CSDL bán cấu trúc XML,CSDL quan hệ truyền thống
"Học phần bảo mật web, csdl dạy nội dung gì?",OWASP Top 10 / CSDL NoSQL,IEEE 802.11 / CSDL hướng đối tượng,DSA / CSDL bán cấu trúc XML,Toán cao cấp / CSDL quan hệ truyền thống
Nhóm môn học trong tài liệu Public002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,Cơ khí – Điện tử,"Công nghệ thông tin (CSDL, mạng, bảo mật, dữ liệu lớn, IoT, học máy)",Kinh tế – Quản lý,Ngôn ngữ học
Có 35 học phần được liệt kê trong đoạn tài liệu (từ số 47 đến 81). Trung bình mỗi trang mô tả bao nhiêu học phần (giả sử trải đều trên 7 trang)?,5,6,7,8
Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong nghiên cứu này là gì?,Một thuật toán dịch máy,Một loại dữ liệu song ngữ,Một phương pháp đánh giá tự động chất lượng dịch máy,Một hệ dịch mã nguồn mở
Công cụ nào được nhóm tác giả sử dụng để huấn luyện các hệ dịch nơ ron?,Moses,OpenNMT,TensorFlow,Fairseq
Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,Một thuật toán dịch máy / Moses,Một loại dữ liệu song ngữ / OpenNMT,Một phương pháp đánh giá tự động chất lượng dịch máy / TensorFlow,Một hệ dịch mã nguồn mở / Fairseq
Nội dung chính của bài báo Public003 là gì?,So sánh dịch máy thống kê và dịch máy ví dụ,"Đề xuất phương pháp thích ứng miền mới cho dịch máy nơ ron Anh – Việt, tận dụng dữ liệu đơn ngữ ngoài miền để cải thiện chất lượng dịch",Phân tích dữ liệu song ngữ trong lĩnh vực pháp lý,Trình bày lý thuyết về RNN hai chiều
"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",0.84,1.37,1.5,2.21
Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,Gia công cắt gọt vật liệu,Đúc bê tông trong ván khuôn,Sản xuất bồi đắp bằng cách chồng lớp vật liệu từ mô hình CAD,Ép nén bê tông truyền thống
Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,Contour Crafting,Concrete Printing,D-Shape,Emerging Objects
"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",Contour Crafting,Concrete Printing,Concrete On-Site 3D Printing,FDM
Nội dung chính của bài báo Public004 là gì?,Trình bày ứng dụng in 3D trong y tế,"Giới thiệu, phân tích ưu nhược điểm các công nghệ in bê tông 3D trong xây dựng, so sánh tính khả thi áp dụng ở Việt Nam",Mô tả chi tiết công thức chế tạo bê tông UHPC,Giới thiệu công nghệ CAD trong xây dựng
"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",Độ mịn bề mặt sản phẩm tốt hơn,Khả năng chịu lực cao hơn,Chi phí rẻ hơn,Quy mô in lớn hơn
OCR là viết tắt của gì trong bài báo này?,Optical Character Recognition,Optical Code Reader,Optical Computing Resource,Optical Capture Recognition
Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì?,Viettel OCR,FPT.AI Reader,Google Vision AI,Tesseract
"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",OCR,ICR,Faster R-CNN,TransformerOCR
Nội dung chính của bài báo Public005 là gì?,Đánh giá chuyển đổi số tại ngân hàng thương mại,Giới thiệu công nghệ OCR và thử nghiệm FPT.AI Reader cho số hóa tài liệu tại Học viện Ngân hàng,Xây dựng hệ thống ERP cho giáo dục,Nghiên cứu ứng dụng AI trong tài chính
"Trong thử nghiệm, tỷ lệ sai số theo đơn vị từ của FPT.AI Reader là bao nhiêu?",0.16,0.2,0.27,0.5
"Luật nào quy định rõ nhiệm vụ, quyền hạn của các thiết chế quản trị đại học ở Việt Nam?",Luật Giáo dục 2015,Luật Giáo dục đại học sửa đổi số 34/2018,Luật Công nghệ thông tin 2016,Luật Khoa học và Công nghệ 2013
"Theo bài báo, cơ quan nào có thẩm quyền cao nhất trong trường đại học?",Hội đồng trường,Ban giám hiệu,Bộ Giáo dục và Đào tạo,Hiệu trưởng
"Ứng dụng công nghệ số trong quản trị đại học giúp vừa bao quát toàn bộ hoạt động của nhà trường kịp thời, vừa hỗ trợ ra quyết sách quản lý và điều hành hiệu quả.",Quản lý sinh viên,Quản trị đại học số,Quản lý cơ sở vật chất,Quản lý tuyển sinh
Nội dung chính của bài báo Public006 là gì?,Trình bày ứng dụng CNTT trong giảng dạy trực tuyến,"Phân tích thực trạng và đề xuất giải pháp ứng dụng công nghệ số trong công tác quản trị đại học ở Việt Nam, hướng tới đại học số",Tổng quan về cách mạng công nghiệp 4.0,Nghiên cứu vai trò của AI trong giáo dục
"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?","0,5 triệu giáo viên, 10 triệu học sinh","0,8 triệu giáo viên, 15 triệu học sinh","1,0 triệu giáo viên, 20 triệu học sinh","1,4 triệu giáo viên, 23 triệu học sinh"
ISO 15189:2022 áp dụng cho đối tượng nào?,Các công ty công nghệ thông tin,Phòng xét nghiệm y tế,Bệnh viện tư nhân,Nhà sản xuất thiết bị y tế
"Theo tiêu chuẩn, “khiếu nại” được định nghĩa như thế nào?",Ý kiến góp ý tích cực về hoạt động xét nghiệm,Thắc mắc của cơ quan quản lý,"Sự không hài lòng của cá nhân/tổ chức liên quan đến hoạt động hoặc kết quả xét nghiệm, nơi dự kiến có phản hồi",Báo cáo sự cố thiết bị
"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào vừa cung cấp từ vựng quốc tế về đo lường, vừa được sử dụng để xác định các thuật ngữ về độ chệch và khoảng tham chiếu sinh học?",ISO/IEC 17025,ISO/IEC Guide 99,ISO/IEC 17000,ISO 18113-1
